# 九键自定义短语（数字编码）—— 字由输入法自建
# frost 上游 rime_frost_t9 引用的 custom_phrase_t9.txt 在其仓库中不存在，
# 本表为字由自建最小集：超高频单字/短语的九键整码直出（initial_quality 99 置顶）。
# 键位映射：2=abc 3=def 4=ghi 5=jkl 6=mno 7=pqrs 8=tuv 9=wxyz
# 格式：字词<TAB>数字编码<TAB>权重（仅表内相对排序，置顶由 initial_quality 保证）
# 维护：勿用 sync_rime_frost.py 覆盖本文件（自建资产，非 frost 上游文件）
我	96	1000
你	64	990
他	82	980
她	82	975
的	33	970
是	744	960
不	28	950
好	426	940
在	924	930
吗	62	920
呢	63	910
啊	2	900
哦	6	890
嗯	36	880
你好	64426	870
好的	42633	860
谢谢	943943	850
可以	5394	840
什么	743663	830
我们	96636	820
知道	944326	810
今天	5468426	800
明天	64648426	790
再见	9245426	780
晚安	92626	770
拜拜	224224	760
哈哈	4242	750
没关系	482694	740
不客气	285374	730
收到	7468326	720
在吗	92462	710
你好吗	6442662	700
