# 诗词名句「通行版」校订语料（prev \t next \t weight）
#
# 背景：chinese-poetry 数据集以学术底本为准，大量名句收录的是异文版
#（如《静夜思》"床前看月光/举头望山月"），与教材/大众通行的修订版
#（"床前明月光/举头望明月"）不同，导致通行名句整句键缺失、联想 miss。
#
# 本表以人工精选方式补录通行版句对（键/候选均为去标点整句，权重 90），
# 经 --plain-corpus 免尾键通道合入主库。
# 维护纪律：与种子语料/探针词表同为只增不删的受控文件，入 git 管理；
# 新增条目须为广泛通行的权威版本（教材/权威选本口径）。
床前明月光	疑是地上霜	90
疑是地上霜	举头望明月	90
举头望明月	低头思故乡	90
春眠不觉晓	处处闻啼鸟	90
处处闻啼鸟	夜来风雨声	90
夜来风雨声	花落知多少	90
白日依山尽	黄河入海流	90
黄河入海流	欲穷千里目	90
欲穷千里目	更上一层楼	90
慈母手中线	游子身上衣	90
临行密密缝	意恐迟迟归	90
谁言寸草心	报得三春晖	90
李白乘舟将欲行	忽闻岸上踏歌声	90
桃花潭水深千尺	不及汪伦送我情	90
朝辞白帝彩云间	千里江陵一日还	90
两岸猿声啼不住	轻舟已过万重山	90
日照香炉生紫烟	遥看瀑布挂前川	90
飞流直下三千尺	疑是银河落九天	90
故人西辞黄鹤楼	烟花三月下扬州	90
孤帆远影碧空尽	唯见长江天际流	90
两个黄鹂鸣翠柳	一行白鹭上青天	90
窗含西岭千秋雪	门泊东吴万里船	90
国破山河在	城春草木深	90
感时花溅泪	恨别鸟惊心	90
烽火连三月	家书抵万金	90
白头搔更短	浑欲不胜簪	90
离离原上草	一岁一枯荣	90
野火烧不尽	春风吹又生	90
远芳侵古道	晴翠接荒城	90
又送王孙去	萋萋满别情	90
千山鸟飞绝	万径人踪灭	90
孤舟蓑笠翁	独钓寒江雪	90
空山不见人	但闻人语响	90
返景入深林	复照青苔上	90
独坐幽篁里	弹琴复长啸	90
深林人不知	明月来相照	90
绿蚁新醅酒	红泥小火炉	90
晚来天欲雪	能饮一杯无	90
渭城朝雨浥轻尘	客舍青青柳色新	90
劝君更尽一杯酒	西出阳关无故人	90
千里黄云白日曛	北风吹雁雪纷纷	90
莫愁前路无知己	天下谁人不识君	90
空山新雨后	天气晚来秋	90
明月松间照	清泉石上流	90
竹喧归浣女	莲动下渔舟	90
随意春芳歇	王孙自可留	90
独在异乡为异客	每逢佳节倍思亲	90
遥知兄弟登高处	遍插茱萸少一人	90
碧玉妆成一树高	万条垂下绿丝绦	90
不知细叶谁裁出	二月春风似剪刀	90
少小离家老大回	乡音无改鬓毛衰	90
儿童相见不相识	笑问客从何处来	90
葡萄美酒夜光杯	欲饮琵琶马上催	90
醉卧沙场君莫笑	古来征战几人回	90
秦时明月汉时关	万里长征人未还	90
但使龙城飞将在	不教胡马度阴山	90
煮豆燃豆萁	豆在釜中泣	90
本是同根生	相煎何太急	90
城阙辅三秦	风烟望五津	90
与君离别意	同是宦游人	90
海内存知己	天涯若比邻	90
无为在歧路	儿女共沾巾	90
前不见古人	后不见来者	90
念天地之悠悠	独怆然而涕下	90
飞来山上千寻塔	闻说鸡鸣见日升	90
不畏浮云遮望眼	自缘身在最高层	90
水光潋滟晴方好	山色空蒙雨亦奇	90
欲把西湖比西子	淡妆浓抹总相宜	90
横看成岭侧成峰	远近高低各不同	90
不识庐山真面目	只缘身在此山中	90
松下问童子	言师采药去	90
只在此山中	云深不知处	90
好雨知时节	当春乃发生	90
随风潜入夜	润物细无声	90
野径云俱黑	江船火独明	90
晓看红湿处	花重锦官城	90
爆竹声中一岁除	春风送暖入屠苏	90
千门万户曈曈日	总把新桃换旧符	90
清明时节雨纷纷	路上行人欲断魂	90
借问酒家何处有	牧童遥指杏花村	90
岐王宅里寻常见	崔九堂前几度闻	90
正是江南好风景	落花时节又逢君	90
天街小雨润如酥	草色遥看近却无	90
最是一年春好处	绝胜烟柳满皇都	90
黄河远上白云间	一片孤城万仞山	90
羌笛何须怨杨柳	春风不度玉门关	90
黄四娘家花满蹊	千朵万朵压枝低	90
留连戏蝶时时舞	自在娇莺恰恰啼	90
昼出耘田夜绩麻	村庄儿女各当家	90
童孙未解供耕织	也傍桑阴学种瓜	90
篱落疏疏一径深	树头新绿未成阴	90
儿童急走追黄蝶	飞入菜花无处寻	90
梅子金黄杏子肥	麦花雪白菜花稀	90
日长篱落无人过	惟有蜻蜓蛱蝶飞	90
荷尽已无擎雨盖	菊残犹有傲霜枝	90
一年好景君须记	最是橙黄橘绿时	90
山外青山楼外楼	西湖歌舞几时休	90
暖风熏得游人醉	直把杭州作汴州	90
死去元知万事空	但悲不见九州同	90
王师北定中原日	家祭无忘告乃翁	90
三万里河东入海	五千仞岳上摩天	90
遗民泪尽胡尘里	南望王师又一年	90
京口瓜洲一水间	钟山只隔数重山	90
春风又绿江南岸	明月何时照我还	90
茅檐长扫净无苔	花木成畦手自栽	90
一水护田将绿绕	两山排闼送青来	90
黑云翻墨未遮山	白雨跳珠乱入船	90
卷地风来忽吹散	望湖楼下水如天	90
应怜屐齿印苍苔	小扣柴扉久不开	90
春色满园关不住	一枝红杏出墙来	90
胜日寻芳泗水滨	无边光景一时新	90
等闲识得东风面	万紫千红总是春	90
毕竟西湖六月中	风光不与四时同	90
接天莲叶无穷碧	映日荷花别样红	90
生当作人杰	死亦为鬼雄	90
