# 字由输入法自建 predict.db 种子语料（联想优化方案 §4.1）
# 格式：prev \t next \t weight（weight 可省略，默认 50；同键内相对强度）
# 维护纪律：仅收 1~8 字纯汉字键与 1~20 字纯汉字候选；人工可解释的高频自然搭配；
# 低质量/长尾语料交给 --corpus 外部文件与 --distill 蒸馏，不混入种子。
# 权重档位：90 极高频（问候/代词搭配）｜70 高频｜50 常规｜30 低频补充
我	们	90
我	的	90
我	想	70
我	觉得	70
我	知道	70
我	可以	70
我	已经	70
我	现在	70
我	明天	50
我	今天	70
你	好	90
你	们	90
的	确	50
他	们	90
她	们	90
它	们	90
大家	好	90
大家	都	70
您好	请问	50
早上好	呀	30
晚安	好梦	30
谢谢	你	90
谢谢你	啦	50
谢谢	大家	50
不	客气	90
不	用	70
不	知道	70
不	能	70
不	会	70
不	是	70
不	好意思	50
没	关系	90
没	问题	90
没	有	70
什么	时候	90
什么	意思	70
怎么	办	90
怎么	样	90
怎么	回事	70
为	什么	90
是	的	90
是	不是	70
是	否	50
今天	天气	90
今天	晚上	70
今天	下午	70
今天	上午	50
明天	见	70
明天	早上	50
明天	再说	30
昨天	晚上	70
现在	几点了	50
现在	开始	50
时间	不早了	30
星期	几	70
周末	愉快	50
天气	不错	70
天气	预报	50
天气	怎么样	70
吃	饭	90
吃	了没	70
吃	什么	70
吃	火锅	30
喝	水	70
喝	茶	50
喝	咖啡	50
早	上	70
早	餐	50
晚	上	70
午	饭	50
睡	觉	90
睡	眠	30
起床	了	50
上班	去了	30
下班	了	50
回家	了	70
回	来	70
出	来	70
出	发	50
出	门	50
去	哪里	70
去	年	50
来	了	90
来	一下	70
走	了	70
走	吧	70
到	了	90
到	家了	70
到	时候	70
在	哪里	90
在	干嘛	70
在	忙	50
在	吗	90
有	没有	90
有	空	70
有	时间	70
有	意思	70
有点	累	50
有点	饿	50
很	好	90
很	开心	70
很	高兴	90
很	抱歉	50
很	感谢	50
很	重要	70
真	好	70
真	的	90
真	棒	50
太	好了	70
太	感谢了	50
太	客气了	50
非常	好	70
非常	感谢	70
非常	抱歉	50
特别	好	50
好	的	90
好	吧	90
好	吗	90
好	久不见	70
好	消息	30
好的	收到	50
可以	的	70
可以	吗	70
可能	是	70
应该	是	90
应该	没问题	50
一定	会	70
一定	的	70
必须	的	30
需要	帮忙	50
需要	我	30
帮	我	90
帮	忙	90
麻烦	你	70
麻烦	了	70
请	问	90
请	稍等	50
请	进	30
让	我	70
给	我	70
给	你	70
和	你	70
和	我	70
跟	你说	50
对	的	90
对	不起	90
对不起	打扰了	30
错	了	50
行	的	70
行	不行	50
成	交	30
明白	了	70
懂	了	70
知道	了	90
听说	了	50
听说	你	30
看	到了	70
看	起来	70
看	看	70
想	你了	50
想	一想	50
想	办法	50
爱	你	70
喜欢	你	70
喜欢	吃	30
开心	就好	30
快乐	每一天	30
生日	快乐	90
新年	快乐	90
节日	快乐	70
恭喜	发财	70
恭喜	恭喜	50
祝	你	70
祝	你生日快乐	50
身体	健康	70
身体	不舒服	50
注意	身体	50
注意	安全	70
小心	点	50
别	着急	50
别	担心	70
别	客气	70
别	说了	30
放心	吧	70
放心	我	30
加油	哦	30
加油	干	30
努力	工作	30
努力	学习	30
工作	顺利	50
工作	加油	30
工作	太忙了	30
学习	进步	30
生活	愉快	50
一路	顺风	70
一路	平安	70
欢迎	光临	70
欢迎	回来	70
再见	了	70
再见	拜拜	30
拜拜	晚安	30
回	见	50
慢	走	50
请	慢用	30
开会	了	50
会议	室	50
项目	进度	30
问题	解决了	30
问题	不大	30
解决	方案	50
解决	问题	70
处理	一下	50
安排	一下	50
安排	好了	30
通知	大家	30
提醒	我	50
记得	带	30
记得	吃饭	30
别忘	了	50
快	点	70
快	乐	70
快	到了	50
马上	到	70
马上	来	70
马上	就好	70
稍	等	70
稍	后	50
等	一下	90
等	你	50
等	会儿	70
一会儿	见	70
一会	儿	50
刚才	的	50
刚	看到	50
刚	回来	30
正在	忙	50
正在	路上	50
已经	到了	70
已经	吃完	30
已经	好了	50
还	没	70
还	有	70
还	是	70
还	不错	50
更	好	50
最	好	70
最	近	70
最近	怎么样	70
最近	很忙	50
怎么	还没来	30
到底	怎么回事	30
到底	行不行	30
感觉	不错	70
感觉	很好	50
觉得	怎么样	70
希望	如此	50
希望	你	50
期待	你的回复	30
收到	了	90
收到	谢谢	50
好的	没问题	50
没	事儿	70
没事	的	70
有事	找我	30
随时	联系	50
保持	联系	50
常	联系	50
多	保重	50
保重	身体	30
天气	冷了	30
天气	热	30
多穿	点	30
早点	睡	70
早点	休息	70
别太	累了	30
辛苦	了	90
辛苦	你	50
劳驾	了	30
拜托	了	70
拜托	你	50
帮个	忙	50
谢了	兄弟	30
客气	什么	30
应该	做的	30
举手之劳	而已	30
小事	一桩	30
包在	我身上	30
我来	吧	50
交给	我	50
试试看	吧	30
尽力	而为	30
尽力	帮你	30
没问题	交给我	30
好的	我来	30
稍等	片刻	30
马上	处理	30
正在	处理	30
尽快	回复	30
尽快	给你	30
晚点	回你	30
回头	再说	30
改天	约	30
改天	聚	30
有空	一起	50
一起	吃饭	70
一起	吧	70
走起	吧	30
出发	吧	30
几点	见	50
几点	开始	50
在哪	集合	30
定位	发我	30
地址	发我	30
发个	定位	30
到了	说一声	30
路上	注意安全	50
开车	慢点	30
到家	说一声	50
平安	到家	30
早去	早回	30
玩得	开心	50
好好	玩	30
好好	休息	70
好好	吃饭	50
照顾	好自己	50
别太	拼了	30
身体	要紧	30
工作	要紧	30
钱	不重要	30
开心	最重要	30
心态	要好	30
放宽心	吧	30
别想	太多	50
顺其自然	吧	30
船到桥头	自然直	30
车到山前	必有路	30
办法	总比困难多	30
一切	都会好的	50
明天	会更好	30
越来越	好	50
越来越	棒	30
越来越	喜欢	30
真的	很感谢	30
真的	很开心	30
真的	吗	70
假的	吧	50
不会	吧	70
不是	吧	70
真的	假的	50
确定	吗	50
肯定	是	70
肯定	没问题	50
保准	没错	30
绝对	可以	30
绝对	没问题	30
相信	我	70
相信	你	50
信任	是	30
支持	你	70
支持	一下	30
顶你	上去	30
点赞	了	30
转发	了	30
